DMS ORIG,DMS DEST,Commodity,Total KTons in 2012,Population_Dest_2012,Total M$ in 2012,Region
CA,AL,AgProdce,46.3745,4.82E+06,209.7609,South
CA,AK,AgProdce,0.1545,7.31E+05,0.0049,West
CA,AZ,AgProdce,196.0954,6.55E+06,656.2083,West
CA,AR,AgProdce,7.3367,2.95E+06,20.379,South
CA,CA,AgProdce,41793.6904,3.81E+07,36891.4785,West
CA,CO,AgProdce,61.3474,5.19E+06,184.6741,West
CA,CT,AgProdce,4.472,3.59E+06,17.3397,Northeast
CA,DE,AgProdce,0.2282,9.17E+05,1.4202,South
CA,FL,AgProdce,157.0957,1.94E+07,319.3031,South
CA,GA,AgProdce,72.5864,9.92E+06,266.9308,South
CA,HI,AgProdce,12.5317,1.39E+06,32.2674,West
CA,ID,AgProdce,23.5912,1.60E+06,103.991,West
CA,IL,AgProdce,199.8242,1.29E+07,692.6434,Midwest
CA,IN,AgProdce,111.1399,6.54E+06,178.3672,Midwest
CA,IA,AgProdce,25.3636,3.08E+06,77.4233,Midwest
CA,KS,AgProdce,19.4329,2.89E+06,42.4218,Midwest
CA,KY,AgProdce,35.6481,4.38E+06,104.806,South
CA,LA,AgProdce,12.6715,4.60E+06,18.5978,South
CA,ME,AgProdce,2.9474,1.33E+06,10.8238,Northeast
CA,MD,AgProdce,82.8051,5.89E+06,135.2826,South
CA,MA,AgProdce,73.4067,6.66E+06,176.2183,Northeast
CA,MI,AgProdce,146.9079,9.89E+06,282.8627,Midwest
CA,MN,AgProdce,74.5937,5.38E+06,153.6793,Midwest
CA,MS,AgProdce,27.1743,2.99E+06,26.962,South
CA,MO,AgProdce,40.361,6.03E+06,137.3461,Midwest
CA,MT,AgProdce,16.0329,1.01E+06,17.1413,West
CA,NE,AgProdce,20.2449,1.86E+06,46.3944,Midwest
CA,NV,AgProdce,1554.453,2.75E+06,1157.2085,West
CA,NH,AgProdce,0.258,1.32E+06,0.89,Northeast
CA,NJ,AgProdce,118.7517,8.87E+06,178.4281,Northeast
CA,NM,AgProdce,51.7829,2.08E+06,115.2206,West
CA,NY,AgProdce,287.1329,1.96E+07,547.0943,Northeast
CA,NC,AgProdce,38.3463,9.75E+06,105.1147,South
CA,ND,AgProdce,6.6156,7.02E+05,8.6997,Midwest
CA,OH,AgProdce,141.6339,1.16E+07,378.2281,Midwest
CA,OK,AgProdce,35.7722,3.82E+06,46.635,South
CA,OR,AgProdce,102.6777,3.90E+06,314.874,West
CA,PA,AgProdce,209.9573,1.28E+07,414.5136,Northeast
CA,RI,AgProdce,1.8577,1.05E+06,8.1788,Northeast
CA,SC,AgProdce,6.4297,4.72E+06,17.979,South
CA,TN,AgProdce,49.328,6.46E+06,154.8579,South
CA,TX,AgProdce,378.6842,2.61E+07,1372.3397,South
CA,UT,AgProdce,90.3706,2.86E+06,139.3549,West
CA,VT,AgProdce,0.0296,6.26E+05,0.0062,Northeast
CA,VA,AgProdce,48.5851,8.19E+06,67.4172,South
CA,WA,AgProdce,217.1456,6.90E+06,281.5887,West
CA,WV,AgProdce,7,1.86E+06,11.144,South
CA,WI,AgProdce,140.4022,5.73E+06,377.2982,Midwest
CA,WY,AgProdce,28.0074,5.77E+05,43.4667,West
