data	AL	AK	AZ	AR	CA	CO	CT	DE	FL	GA	HI	ID	IL	IN	IA	KS	KY	LA	ME	MD	MA	MI	MN	MS	MO	MT	NE	NV	NH	NJ	NM	NY	NC	ND	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VT	VA	WA	WA.DC	WV	WI	WY
AL	1284230	0	0	927	0	0	0	0	54551	3131	0	0	0	0	0	0	610	8402	0	0	0	0	0	21393	0	0	0	0	0	286	0	0	112	0	721	0	0	551	0	875	0	14350	470	0	0	366	0	0	0	0	0
AK	0	67983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZ	0	0	1397587	0	134326	2968	0	0	0	0	0	6135	1060	0	0	0	0	0	0	0	0	0	0	0	19269	1589	0	10014	0	0	299	0	0	0	0	421	12164	0	0	4615	0	0	3215	10556	0	0	13221	0	0	0	295
AR	19110	0	0	13767530	107713	0	0	0	160	7103	0	0	94017	2866	0	54219	9	267186	0	0	0	128	0	176904	123069	0	0	0	0	0	0	3935	0	0	7666	60218	524	14775	0	4179	0	612918	141087	1192	0	0	115	0	0	0	0
CA	2205	113	289317	324	13013568	34558	1709	0	111159	122229	88373	5137	230383	20437	5990	11005	18927	4901	4014	53946	8855	8577	582640	10045	76464	313	5819	173601	0	113781	3921	109385	11157	0	9167	1150	167288	69535	258	128215	0	7225	163998	44026	6	7839	158021	83	218	27236	578
CO	139	0	63822	0	95029	13316585	0	0	278	37358	0	0	30832	22770	11474	242889	16549	0	0	0	736	1226	21374	0	34002	1348	2081913	0	0	7958	103051	129	0	270371	80031	23251	0	7531	0	0	339	0	32007	49488	0	2433	66000	0	0	129645	948
CT	0	0	361	69	4520	1092	246161	0	5204	526	0	32	3111	1679	5056	0	124	205	3049	11196	127437	1333	3412	0	967	0	0	375	13697	94126	274	128026	575	8600	244	0	633	15976	3344	0	0	594	136578	1002	0	42713	457	76	0	2955	0
DE	0	0	0	0	0	0	0	1592082	0	0	0	0	0	0	0	16	0	0	0	214157	0	0	0	0	0	0	115	0	0	3093	0	0	1894	0	3193	0	0	11384	0	0	0	0	0	0	0	97	0	0	419	0	0
FL	3733	0	3387	274	2036	3353	70	0	8403764	22903	0	0	33254	288	289	744	297	5185	0	272	1097	2457	0	277	229	0	278	0	0	1234	0	10149	31866	305	13456	751	268	16210	0	17181	0	13445	6722	7174	0	2756	405	0	0	287	0
GA	104446	0	17759	8539	199133	7624	2880	0	346817	5551252	0	0	379527	46934	28000	0	30163	16889	0	12033	62787	25053	51655	6187	18381	0	796	24	0	41837	0	24362	78512	0	136162	12650	0	199601	0	100427	0	71666	146511	22405	83	43284	53113	0	1051	53694	0
HI	0	0	0	0	1	0	0	0	0	0	226958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID	0	0	0	0	519729	674509	0	0	124858	148020	0	6682334	79622	0	260325	0	0	0	0	0	0	703	5077	0	632339	579718	0	7243	43313	0	3919	0	0	0	56199	0	94691	0	0	0	0	402	78272	222307	0	125497	512952	0	0	0	0
IL	1262092	0	32692	28746	108772	31593	20794	0	319367	2599273	0	0	79906891	885853	819066	28055	180616	3711921	57808	261239	41437	273334	614574	2255179	1744759	3505	7748	196	0	61829	0	229124	104314	1214	222354	21159	33257	245460	215	81474	0	3070350	286934	0	0	123489	64836	0	0	420814	0
IN	5408	0	7155	138265	80968	9688	0	0	373022	1590824	0	274	2892605	26324287	24143	85203	568675	3168329	2073	29987	5231	1074755	218780	13943	35610	0	172891	4930	0	53191	0	14459	652588	28	1633146	3911	1145	407224	0	139492	40833	145408	37713	26979	259	164316	5970	0	339	84950	458
IA	121780	0	231937	44000	298180	14008	14458	0	15296	299313	0	0	1321897	94804	83459293	78200	23265	2163085	70149	31365	36884	68022	7338623	507286	619865	0	6455168	0	0	55585	0	185764	11856	0	228278	24339	34015	234268	0	124144	13533	19491	121267	13281	4714	101039	39419	0	0	433048	0
